[2025-10-28T00:10:55.379Z] FALLO: bootstrap.min.js | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-28T00:43:08.049Z] FALLO: jquery.mb.YTPlayer.min.js | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-28T00:43:08.490Z] FALLO: jquery.mb.YTPlayer.min.js | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-28T00:43:08.915Z] FALLO: jquery.mb.YTPlayer.min.css | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-28T00:43:09.218Z] FALLO: jquery.mb.YTPlayer.min.css | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-28T00:43:09.675Z] FALLO: bootstrap.min.css | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-28T00:43:09.840Z] FALLO: bootstrap.min.css | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-28T00:43:10.015Z] FALLO: bootstrap.min.js | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-28T00:43:10.190Z] FALLO: bootstrap.min.js | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-28T04:02:49.575Z] FALLO: jquery.mb.YTPlayer.min.js | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-28T04:02:50.191Z] FALLO: jquery.mb.YTPlayer.min.js | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: HTTP 429
[2025-10-28T04:02:50.582Z] FALLO: jquery.mb.YTPlayer.min.css | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: Página de error disfrazada
[2025-10-28T04:02:50.739Z] FALLO: jquery.mb.YTPlayer.min.css | URL: https://raw.githubusercontent.com/pupunzi/jquery.mb.YTPlayer/master/src/jquery.mb.YTPlayer.src.js | Error: Página de error disfrazada
[2025-10-28T04:02:51.048Z] FALLO: bootstrap.min.css | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-28T04:02:51.194Z] FALLO: bootstrap.min.css | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-28T04:02:51.345Z] FALLO: bootstrap.min.js | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
[2025-10-28T04:02:51.508Z] FALLO: bootstrap.min.js | URL: https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css | Error: Página de error disfrazada
